Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments,
13/04/2024 12:00,Southern Cairngorms,SN,134775,900,5,15,"The Cairnwell, NNE aspect",4,225.00,25,100,0 - None,0,20,1,0,1,3.5,245,41,Low,Low,0,0,1,204,0,20,0,2,0,0,isolated small snow patch,
13/04/2024 11:45,Northern Cairngorms,KG,994039,925,60,20,Sneachda Morains,4.3,200.00,35,100,0 - None,0,130,3,0,1,0.1,230,53,Low,Moderate,0,0,1,308,0,20,0,2,0,0,,
13/04/2024 11:27,Glencoe,PM,255506,860,60,31,Meall a' Bhuiridh,2.9,220.00,10,100,2 - Trace,0,40,20,0,1,0.9,220,40,Low,Moderate,0,0,0,268,0,20,0,2,0,0,,
13/04/2024 11:20,Creag Meagaidh,TR,446893,660,140,12,Low in Coire Chriochairein,5,225.00,15,100,0 - None,0,28,11,0,1,1.3,220,30,Low,Moderate,0,,2,258,0,20,0,2,0,0,Isolated snowpatch. Isothermal. Snow cover now composed of patches above 850m and some favoured gullies at lower altitude.,
13/04/2024 11:10,Torridon,GP,883532,300,,0,Ben Damph,6,160.00,30,100,0 - None,0,0,0,0,0,2,250,37,Low,Low,0,,,228,0,20,0,2,0,0,Weather observations only,
13/04/2024 09:45,Lochaber,BM,188741,1085,340,25,Aonach Mor,2.5,230.00,30,100,4 - Light Showers,0,58,1,0,1,0.9,220,40,Low,Moderate,0,0,1,308,0,20,0,2,0,0,Well bonded snowpack.,
12/04/2024 11:38,Northern Cairngorms,KG,983034,920,340,15,Coire an Lochain,8.3,220.00,35,50,0 - None,0,50,3,0,0,5.2,220,35,Low,Low,0,0,1,308,0,20,0,2,0,0,,
12/04/2024 11:30,Southern Cairngorms,PN,328912,600,260,0,Coyle's of Muick,8.6,240.00,28,75,0 - None,0,0,0,0,0,5.2,219,43,Low,Low,0,,,204,0,20,0,2,0,0,,
12/04/2024 11:20,Creag Meagaidh,TR,659803,880,300,15,Coire nan Cisteachan. Drumochter,5.7,225.00,23,95,0 - None,0,39,3,0,0,4.4,225,25,Low,Low,0,0,2,258,0,20,0,1,0,0,Isolated snow patch.,
12/04/2024 11:10,Lochaber,BM,169717,840,350,25,"Observatory Gully, Ben Nevis",5.7,30.00,10,100,0 - None,0,60,0,0,1,5.2,219,43,Low,Low,0,0,1,308,0,20,0,2,0,0,Well bonded snowpack.,
12/04/2024 11:00,Glencoe,PM,258505,900,80,34,Meall a\' Bhuiridh,5.1,210.00,21,100,0 - None,0,60,20,0,1,5.2,219,43,Low,Low,0,0,1,268,0,20,0,2,0,0,Patchy snow cover.,
12/04/2024 09:30,Torridon,GP,992637,557,,0,Meall Ghiuthais,6.3,228.00,30,70,0 - None,0,0,0,0,0,4,225,45,Low,Low,0,,,228,0,20,0,2,0,0,Weather observations only,
11/04/2024 12:15,Northern Cairngorms,MB/KG,994039,930,50,16,Coire an t- Sneachda.,8.6,270.00,10,20,0 - None,0,110,10,0,1,6.3,241,58,Low,Low,0,0,1,308,0,20,0,2,0,0,,
11/04/2024 12:00,Southern Cairngorms,PN,257857,945,260,8,"Lochnagar Col, W aspects",6.4,240.00,21,35,0 - None,0,45,10,0,0,6.8,248,43,Low,Low,0,0,2,204,0,20,0,1,0,0,,
11/04/2024 11:20,Glencoe,PM,257506,950,90,30,Meall a' Bhuiridh,4.1,220.00,20,100,0 - None,0,40,10,0,0,3.7,222,42,Low,Low,0,0,1,268,0,20,0,2,0,0,,
11/04/2024 11:20,Creag Meagaidh,TR,432880,745,80,24,"Below Centre Post, Easy Gully. Coire Ardair.",7,225.00,30,15,0 - None,0,42,13,0,0,3.4,225,50,Low,Low,1021,0,1,258,0,20,0,2,0,0,Isothermal spring snowpack. Small full depth avalanche on Post Face late morning.,
11/04/2024 11:00,Torridon,GP,152620,863,,0,Fionn Bheinn,6.3,210.00,40,70,0 - None,0,0,0,0,0,5,225,50,Low,Low,0,,,228,0,20,0,2,0,0,"Weather observations only, no snow at profile site.",
11/04/2024 09:40,Lochaber,BM,187744,970,20,25,Aonach Mor,4.3,260.00,35,70,0 - None,0,35,2,0,0,3.7,222,42,Low,Low,0,0,1,308,0,20,0,2,0,0,Well bonded snowpack.,
10/04/2024 12:05,Southern Cairngorms,PN,257857,944,285,15,"Above Lochnagar Col, right of ladders",0,200.00,18,100,6 - Snow Showers,1,38,3,0,1,0,292,34,Moderate,Low,0,0,2,198,0,20,0,1,0,0,Rain turning to snow around 900m. Light drifting at higher levels.,
10/04/2024 11:50,Glencoe,PM,255505,970,70,33,Meall a' Bhuiridh,-0.2,175.00,15,100,2 - Trace,0,50,8,0,1,1.2,248,26,Low,Low,0,0.6,3,266,0,20,0,1,0,-0.1,,
10/04/2024 11:10,Northern Cairngorms,KG,997043,990,60,28,Cas ridge E side,0,160.00,35,100,6 - Snow Showers,1,90,10,0,0,-0.6,268,49,Moderate,Moderate,0,0.6,2,302,0,20,5,1,0,-0.6,Fail @ 6cm.,
10/04/2024 11:00,Torridon,MD,223733,750,20,30,Bhein Liath mhor Fainnaich,2,200.00,10,100,0 - None,0,65,0,0,1,2,225,50,Low,Low,0,0,0,228,0,20,0,1,0,0,patchy snow - isothermal,
10/04/2024 11:00,Lochaber,BF,169717,850,10,20,"Below NE Buttress, Ben Nevis",1.2,120.00,10,100,2 - Trace,0,140,2,0,0,1.2,248,24,Low,Low,0,0,3,306,0,20,0,1,0,0,Stable Spring Snowpack,
10/04/2024 10:50,Creag Meagaidh,MB,386849,1043,167,15,Beinn a Chaorainn,0.1,220.00,10,100,2 - Trace,0,35,1,0,1,0,248,26,Low,Low,0,0,1,256,0,20,0,1,0,0,,
09/04/2024 14:12,Northern Cairngorms,BF,008039,1200,320,20,South side of Cairngorm,-1.4,350.00,20,100,8 - Snow,0,48,15,0,0,-1.9,248,19,Considerable -,Considerable -,4400,0.8,2,294,0,20,0,1,0,-1.4,Easy failure at 20cm,
09/04/2024 12:15,Southern Cairngorms,SN,155773,915,190,20,"Meall Odhar, South Aspect",1,0.00,15,100,4 - Light Showers,0,20,17,0,0,0.2,121,21,Moderate,Moderate,0,0,0,194,0,20,0,1,0,0,Isolated small patch of snow,
09/04/2024 11:30,Lochaber,BM,194742,1060,170,10,"Climbers Col, Aonach Mor",-0.1,30.00,10,100,4 - Light Showers,0,42,12,0,0,0.7,315,13,Low,Low,0,0,2,302,0,20,0,1,0,0,Weakness at 13cm.,
09/04/2024 11:25,Glencoe,AP,257504,960,75,30,Meall a Bhuiridh,0.9,330.00,10,100,4 - Light Showers,1,130,10,0,0,0.7,162,13,Low,Low,0,0.1,2,262,0,20,0,2,0,-0.2,"Snow showers mainly overnight, occasional and very light today. Light surface debris noted East aspect 950 metres.",
09/04/2024 11:24,Torridon,AC,150776,334,,0,"The Fain, Fannaichs.",5.3,349.00,11,100,0 - None,0,0,0,0,1,0,338,27,Low,Low,0,,,228,0,20,0,2,0,0,Weather obs only.,
09/04/2024 11:00,Creag Meagaidh,MB,447898,940,96,42,Sron Coire a Chriochairein,-0.1,315.00,10,100,6 - Snow Showers,1,22,7,0,0,-1,330,30,Moderate,Moderate,0,0,3,250,0,20,5,1,0,0,,
08/04/2024 12:40,Lochaber,MB/BM,191739,1190,10,10,Aonach Mor,0.3,250.00,26,80,6 - Snow Showers,0,115,5,0,0,0.9,217,49,Low,Moderate,0,0.5,1,296,0,20,0,1,0,-0.5,,
08/04/2024 12:30,Glencoe,AP,257504,960,75,30,Meall a Bhuiridh,3.9,220.00,10,65,2 - Trace,0,140,10,0,1,0.9,217,49,Low,Low,0,0,3,260,0,20,0,2,0,0,"Rain, sleet overnight dry today",
08/04/2024 11:55,Southern Cairngorms,PN,257857,945,285,15,Lochnagar Col,2.2,200.00,8,40,0 - None,0,38,6,0,0,2.5,232,47,Low,Moderate,0,0,1,194,0,20,0,1,0,0,,
